Review_Date,Author,Rating,Review_Title,Review,Review_Url
20 June 2003,Doylenf,," Darker fantasy than the first Potter film...brisk despite its length...
","Prepare yourself for a darker fantasy this time with some harrowing and scary special effects. Apparently J.K. Rowling has hit upon the fact that kids love to be scared stiff along with being entertained by touches of humor and excitement--although I think her imagination works overtime on scenes like the vomiting fit for Ron, one of the more tasteless sequences.",/review/rw0832432/?ref_=tt_urv
17 May 2003,ivony,9," A wonderful journey into a world where magic is, indeed, real.
","Having three daughters I have a choice when a great book comes out:  buy three of them (EXPENSIVE!!), force someone to wait until the other is done before they can read the book (sure, I enjoy breaking up fights!), or read it to them.  I chose to read it to them so we could ALL enjoy it...and we did!  Naturally, the kids were excited when the movie came out.  However, when I saw the first Harry Potter, I was terrified it was going to be ""butchered"" like most ""books to movies"" are; but was pleasantly surprised by the relatively ""stick to the book"" script it displayed.  Sure, some things were left out undoubtedly due to time constraints, but overall, it conveyed the story well.",/review/rw0832432/?ref_=tt_urv
10 October 2009,hnt_dnl,10," The best Harry Potter film?
","Not originally a fan of this series (really, not interested), I've got to say that I now see the widespread appeal of these Harry Potter movies! I actually first saw GOBLET OF FIRE (2005) when it premiered on cable the year after it's release and liked it enough to want to start watching this series. Then when ORDER OF THE PHOENIX (2007) came out 2 years later, I liked it, but it seemed to get really dark and serious more so than GoF and I really needed perspective in understanding the trajectory of these HP films. I went out and bought the 5-disc collection of SORCERER'S STONE, CHAMBER OF SECRETS, PRISONER OF AZBAKAN, GOBLET OF FIRE, and ORDER OF THE PHOENIX. It's apparent these films are purposefully getting darker as they move along, some staying very true to the source material, some taking liberties.",/review/rw0832432/?ref_=tt_urv
21 January 2006,siit,7," That bit of magic returns
","The second installment seems to carry on where the first left off. All previous characters return and then some!! The grandiose majesty of Harry Potter continues with new tricks, new delights and little treats that can be taken for granted. At times I find the Harry Potter world has so many wonderful things happening at the same time that you tend to overlook the smaller things (ergos the Weasley's residence and the great Hall) The Chamber of Secrets is a darker tail but is well within the tolerances of most children's ability to handle. The creatures are excellent, the overall story is easy enough to follow, though some aspects have to be explained to younger children.",/review/rw0832432/?ref_=tt_urv
21 April 2009,TheLittleSongbird,8," Somehow manages to be funnier than the first!
","I really liked the first movie, and I think I like this one more. It's certainly both darker and funnier than the first. This time though, Ron gets the most laughs(""OK can we panic now?""). Here we get introduced to new characters, the standout being Kenneth Branagh, a Shakespeare veteran, who stole every scene as Gildaroy Lockhart. I loved it when he said ""It's filthy down here,"" the whole cinema were in hysterics at that. Jason Isaacs was menacing too, and Dobby was hilarious with his constant head-banging. Daniel Radcliffe is audibly older here and it does work at its advantage. I thought 23 year old Christian Coulson as Riddle was very good indeed, though Riddle was much scarier in the book. Other scenes of comic relief were provided by Ron's parents, played respectably by Julie Walters and Mark Williams. However, there were still some frightening scenes, and the plot at times seemed to be convoluted. Richard Harris was surprisingly good, considering he was ailing quite visibly, and some months later he sadly died. This movie is fairly faithful to the source material, and manages to have a bit of humour too. All in all, a dark and funny movie. 8/10 Bethany Cox",/review/rw0832432/?ref_=tt_urv
20 November 2005,MaxBorg89,8," Back to school, Mr. Potter: a superior second installment
","Having done a good job with the first Harry Potter flick, one shouldn't be surprised Chris Columbus was asked to direct the sequel as well. And the second film actually improves on its predecessor, getting a little edgier and less children-friendly (two factors that raise exponentially with each new installment), even though it does repeat an old mistake in certain places.",/review/rw0832432/?ref_=tt_urv
13 February 2007,ccthemovieman-1,8," Entertaining, And Ranks Somewhere In The Middle Of The HP Films
","I thought this was better than the first Harry Potter movie because it didn't overdo the action scenes as the first film did, and the special-effects were better. It's not ""Lord Of The Rings,"" of course, but it's still decent entertainment, even for us older folks. It got even better with the third installment, which has been my personal favorite of the four I've seen now.",/review/rw0832432/?ref_=tt_urv
22 January 2005,mjw2305,8," A good follow up to Potters first outing
","With all the Character's in place and the world of Hogwarts so well established in the first movie, we get to concentrate more on the story this time around, and consequently, the story is has a little more substance to it.",/review/rw0832432/?ref_=tt_urv
9 November 2002,Cheese-18,8," I want more!!!
","Chris Columbus said he wanted to make a 2,5 hour movie that feels like 30 Minutes. Well, in my case he surely succeeded! I saw the movie as a member of the press and couldn't get enough of it. I would have gladly sat in the cinema for another two or three hours with a biiiig smile on my face.",/review/rw0832432/?ref_=tt_urv
13 August 2007,funkyfry,6," OK, but I think for fans only
","""Harry Potter and the Chamber of Secrets"" is, unfortunately, not one of the best Harry Potter movies despite (or perhaps because of) sticking relatively closely to J.K. Rowling's original novel (IMHO one of the better in the series). Some parts feel overlong and others too short, and there are signs that director Chris Columbus was growing fatigued in his second (and final) entry in the series.",/review/rw0832432/?ref_=tt_urv
