Review_Date,Author,Rating,Review_Title,Review,Review_Url
15 March 2011,hitchcockthelegend,10," That's right. I'm just a fella now. I ain't no different than anyone else no more.
","William Munny (Clint Eastwood taking the lead and directing the piece) is an old and retired gunman whose past misdemeanours would make the devil himself seem tame. Widowed and struggling to raise his two children on a paltry farm, he's tempted out of retirement for one last pay dirt job, the consequence of which provides violence - both physically and of the soul.",/review/rw0981858/?ref_=tt_urv
9 March 2018,Fella_shibby,10," This aint just a great western. Its an incredible movie with an awesome star cast n superb performances.
","Saw this in the late nineties on a vhs n revisted umpteenth number of times. Own a dvd of it.
Jus revisited few days back on a blu ray.
Back in those days, my grandpop was excited to see both his fav film stars, Eastwood n Hackman in the same film. The cast is awesomely strong. Eastwood, Hackman n Freeman.
This aint just a great Western. Its a great movie with awesome characters.
Eastwood playing a tough guy who has killed women and children in the past but trying to lead a decent honest life with his kids on a farm. He has become more weaker with age. His farm is going thru a loss n he is pulled into his darker side once again.
On the other side v have Hackman as a sheriff whos against people carrying guns in his town.
He is a bit autocratic n sadist when meting out punishment.
We have Freeman as Eastwood's old pal who during a shootout acknowledges that he aint no ruthless anymore.
All the performances r top notch.
Eastwood's direction is truly mesmerizing from opening shot n the editing top notch. The one liners are also memorable. Cinematography by Jack N Green is wonderful.
The film begins and ends with a beautiful wide shot, Eastwood standing at the grave near a tree, with a sunset in the background.
As a fan of Eastwood n western genre, i owed it myself to write a review of this film.",/review/rw0981858/?ref_=tt_urv
19 February 2007,jluis1984,10," Masterpiece
","Ford, Hawks, Leone, Peckinpah, all of them big names who have defined the Western genre in one way or another across the history of cinema, transforming what started as low-budget action films into an art itself where the American Old West served as setting for tales of mythical heroism, classic tragedies, and legendary adventures. Actor and Director Clint Eastwood is probably one of the most knowledgeable artists about the Western genre, as his acting career began as the legendary ""Man With No Name"" in the Sergio Leone's Spaghetti Westerns of the 60s. As a director, he somewhat continued this legacy through movies like ""High Plains Drifter"" and ""Pale Rider"", but finally in 1992, Eastwood released what many consider his final ode to the Western, and his ultimate masterpiece of the genre: ""Unforgiven"", an epic saga about the deconstruction of the Western myths.",/review/rw0981858/?ref_=tt_urv
6 June 2000,cathyyoung1,9," Unforgettable
","""Unforgiven"" may well be Clint Eastwood's greatest triumph as an actor and director.  In this grim, dark, and yet strangely beautiful story of former gunslinger William Munny (Eastwood), who comes out of retirement for one last job, Eastwood deliberately sets out to demystify the old West.  This is evident in the conversations between Munny and the Schofield Kid (Jaimze Wolvett), who has a romanticized image of the old-time gunfighters, and between sheriff Little Bill Daggett (Gene Hackman) and hack journalist W.W. Beauchamp (Saul Rubinek).  Yet the ""demythologizing"" message doesn't feel forced; it is woven effortlessly into a gripping story that powerfully conveys the human cost of violence.",/review/rw0981858/?ref_=tt_urv
29 November 2005,Smells_Like_Cheese,8," A classic feel of Western with the added brilliance of Clint Eastwood and an equally strong cast
","I have heard quite a bit for ""Unforgiven"", also I want to seen all the best pictures from the 90's. I was also excited to see Morgan Freeman in the cast, so I know now that ""Million Dollar Baby"" was not Clint and Morgan's first experience together. They work so well as a team and bring nothing but sheer entertainment and charm to movies.",/review/rw0981858/?ref_=tt_urv
24 November 2016,Leofwine_draca,9," Reflective, contemplative revenge western is a real treat
","There's little to say about this supreme western that hasn't been said already, but I'll try anyway. It's a spellbinding film, and nothing like what you'd expect from the rest of Eastwood's career. This turns out to be both an ode to a dying genre (the central characters are old and regretful) and a film with a powerful, anti-violence moral. Eastwood is at the top of his game both in terms of his screen presence (never has he played such a fragile, human character in a western) and as a director. This is one of the most beautiful westerns I've ever seen, with extraordinary lovely landscape shots which look fine when played in high definition.",/review/rw0981858/?ref_=tt_urv
7 June 2007,erostew,10," A Fitting End
",There may never be another real western. Clint appears to be done with the genre and there really isn't anyone else I can think of that can do it Properly. Sergio Leone is gone. William Wellman is gone. Sam Peckinpah is gone. John Huston is gone. John Ford is gone. Howard Hawks is gone.,/review/rw0981858/?ref_=tt_urv
24 March 2009,bkoganbing,9," Notoriously Vicious And Intemperate Disposition
","With all the fine westerns that have come out in the history of film, Unforgiven is only the third one to win the Academy Award for Best Picture. Following in the steps of Cimarron and Dances With Wolves, Unforgiven finally got Clint Eastwood the Oscar recognition for one of film's great icons. ",/review/rw0981858/?ref_=tt_urv
30 January 1999,Kaserynofthegyre,9," Eastwood & Hackman shine
","Unforgiven is about as far from the fantasy mythos of A Fistful of Dollars as Clint Eastwood could get.  No pin-point accuracy with 19th century technology, no desire to 'play fair' and face the enemy on even terms.  If you can shoot him in the back...then do it.",/review/rw0981858/?ref_=tt_urv
6 February 2011,TheLittleSongbird,10," In my opinion, Clint Eastwood's best movie...
","Not only that but one of the best of the western genre. Unforgiven is simply brilliant. Clint Eastwood's direction is superb, and he is also exemplary in a suitably world-weary role. There is also some brilliant support playing, not only from Morgan Freeman and Richard Harris, but also especially from Gene Hackman.",/review/rw0981858/?ref_=tt_urv
