Review_Date,Author,Rating,Review_Title,Review,Review_Url
2 May 2020,gavin-thelordofthefu-48-460297,8," An MCU film that deserved better at the box office
","The Incredible Hulk, based on another marvel superhero and also the 1970s TV show, revolves around Bruce Banner becoming a fugitive after his science experiment exposes gamma radiation on him which transforms him into the Hulk which becomes his appearance for brief periods of time. Meanwhile, General Ross and his army including Emil Blonsky tracks down Bruce and little does he know that Emil decides to use a serum that would give him some abilities while also transforming him into an even worse creature imaginable.",/review/rw1888797/?ref_=tt_urv
8 May 2019,Oeuvre_Klika,8," An underrated part of MCU history
","As I am writing this review, Avengers: Endgame is breaking box-office records as the culmination of 11 years of the MCU. Marvel Studios has become a juggernaut that seemingly nothing can ever stop. When The Incredible Hulk came out in 2008, the second movie of the so-called « Phase 1 » after Iron Man, such a success was merely a hope, if it was envisaged at all.",/review/rw1888797/?ref_=tt_urv
15 June 2008,MovieAddict2016,7," A fun summer blockbuster
","In 2003, Ang Lee's Hulk was released to commercial success  breaking box office records for a June opening and smashing its way to the top of the box office, it outperformed many analysts' expectations and was well on its way to becoming one of the biggest comic book films ever produced.",/review/rw1888797/?ref_=tt_urv
15 June 2008,Aaron1375,8," Smashingly good fun.
","This movie was the second film to release that would set up the 2012 Avengers film. In retrospect, it was a bit of a mistake as it did underwhelming business at the box office; especially when you compare the box office take of this film and the first film to release, Iron Man. Why is it a mistake, well there was already a Hulk movie released only five years prior to this one and it too was a disappointment. That being said, this is the better film than the 2003 Ang Lee film, I just feel it released too soon after it. I think if that film had not existed, this one would have performed considerably better. Not the 300 plus Iron Man did, but perhaps a 200 million dollar film rather than making about the same amount as Ang Lee's film did. I also believe they tried to do a bit too much with the story, not that it is complex, just that they almost blend the comics, with the television show and the 2003 film. At the end of the 2003 film, Bruce is in South America, at the beginning of this one he is in Brazil...so it's a sequel? No, not at all. The origin that is shown during the credits alludes to the television show, but Hulk looks like the comics. Just too much and trying to appease too many people all at the same time. I also think Norton was poorly cast in this one, as I did not get a Banner vibe from him at all. He just does not seem like he is into the role and considering he did not opt into doing the Avengers film and beyond suggests that he was not into it.",/review/rw1888797/?ref_=tt_urv
20 February 2016,A_Different_Drummer,10," Grading on a Bell Curve
",About 1100 reviews on the old IMDb and I am going to do something I have never done before -- review on a bell curve.,/review/rw1888797/?ref_=tt_urv
20 February 2019,ThunderKing6,9," unnesscary hate
","Another movie hated by spoiled, weird fans and people.",/review/rw1888797/?ref_=tt_urv
12 June 2008,DICK STEEL,9," A Nutshell Review: The Incredible Hulk
","The crowded streets and cluttered housing on the streets of Rio De Janeiro provided some reminiscence of Jackie Chan's Police Story, where you could be sure of a chase scene zig- zagging the streets to take advantage of the wonderful opportunities presented for an exhilarating chase. And Leterrier doesn't try not to provide action junkies plenty of action- smashing moments as we root for Bruce Banner to hulk up, unfortunately of course, to satisfy our lust for some unadulterated action where everything in the way of the Hulk, gets smashed. However those expecting action from the get go will be disappointed, as there were only a small handful of action sequences, though of course they include the classic moments that comic fans had been baying for since 4 years ago. So I guess most will be left happy as we see some nifty moves by the Hulkster, which will leave a smile on your face, despite being used in limited doses. But I note though that the story cum action, looked a little bit like Superman II with the seeking of a cure and the deliberate loss of power to be with the lady love, and the duking out between super-beings on equal footing (here being gamma-powered), with a tinge of Cloverfield like moments too.",/review/rw1888797/?ref_=tt_urv
16 November 2008,brando647,8," An Incredible Reboot
","I was not one of those who hated Ang Lee's 2003 portrayal of the Hulk. I did enjoy it to an extent; it was a bit slow-moving and there were some parts that needed some improvement, but it was overall a decent film. I do agree that Louis Letterier's 2008 film was a vast improvement, though. It improved on all of the issues I had with Lee's film. The film is a reboot of the dying franchise: Bruce Banner has been hiding in Brazil, attempting to keep a low profile while he searches for a cure for his condition, but General Ross becomes aware of his location and enlists the aid of Emil Blonsky, a soldier with a mean streak. A bit of non-sanctioned experimentation later and Blonsky becomes a creature rivaling even the Hulk in power.",/review/rw1888797/?ref_=tt_urv
11 May 2009,Scarecrow-88,7," The Incredible Hulk
","Odd casting makes THE INCREDIBLE HULK, in my mind, an interesting feature film, a second attempt to right the wrongs of Ang Lee's HULK. Ultimately, as others in the past have mentioned, by the end, it turns into a video game duel between two monster titans with New York City(..a setting which seems to work quite well as a place where destruction occurs to such a devastating degree)the battleground as civilians, buildings, and transport vehicles are leveled in the process.",/review/rw1888797/?ref_=tt_urv
6 July 2008,Bunuel1976,7," THE INCREDIBLE HULK (Louis Leterrier, 2008) ***
","I recall disliking the overblown, gimmicky and far too somber HULK (2003); even if the creature’s leaping skills were a staple of the original comic (an animated series of which from the 1960s I used to watch as a kid), I found them especially silly in the live-action version – thankfully, here, they’re relegated to the very end. Anyway, when this was first announced, I had little faith that it would be any good: at first, I even doubted Edward Norton’s suitability for the lead but, seeing him in action as Dr. Bruce Banner, he brings the right elements of intelligence, paranoia, tenacity and anguish to the role (his relationship with Betty Ross – nicely played by the luscious Liv Tyler – is very moving, making for one of the more compelling couples in this type of film).",/review/rw1888797/?ref_=tt_urv
9 January 2022,bretttaylor-04022,6," It is a lot better than the 2003 one
","The first issue I have with this is it feels like there is a film missing. Is it a sequel to the Hulk or not, I still don't know. Its just there to introduce the Hulk to the MCU I feel. It is entertaining and never boring but it is far from spectacular.",/review/rw1888797/?ref_=tt_urv
12 September 2012,cherold,5," At least it's not as bad as the Ang Lee version
","With only the vaguest whiff of a story and a lack of character development even in Bruce Banner, the sort of tortured conflicted comic book character seemingly custom-made for character development, The Incredible Hulk really only has its special effects going for it. And while those are decent, a movie that is nothing but its special effects is not a movie.",/review/rw1888797/?ref_=tt_urv
