Review_Date,Author,Rating,Review_Title,Review,Review_Url
18 December 2018,shuklaprakhar,10," Watch it atleast twice
","Beleive me if you want to feel this movie to the core watch it twice . It took me twice to analyse that this movie was something much more than just awesome
Brilliant acting by brad pitt maybe his best one, direction above par .
There is something much more in this movie than meets the eye .. Watch it and find for yourself",/review/rw5691804/?ref_=tt_urv
10 May 2000,dr. gonzo,10," a dangerously brilliant film that entertains as well as enlightens.
","""Fight Club"" an aggressive, confrontational, often brutal satire that is quite possibly a brilliant masterpiece. Taking the ""Choose life,"" anti-consumerism rant at the beginning of ""Trainspotting,"" and carrying it to its logical -- albeit extreme -- conclusion this is a big budget, mainstream film that takes a lot of risks by biting the hand that feeds it. The film's narrator (Edward Norton) is an insignificant cog in the drab, corporate machine, dutifully doing his job and what he's told without question. He's an insomniac slave to his IKEA possessions and only finds joy in going to as many self-help/dealing with terminal diseases sessions as he can. It provides him with an escape from his sleepless nights. That is, until Marla Singer (Helena Bonham Carter), a trashy chain-smoking poser, enters his life and upsets his routine. The narrator also meets Tyler Durden (Brad Pitt), a charismatic soap salesman whose straightforward honesty, candor and sleazy lounge-lizard outfits are a breath of fresh air. One night, after the two men have bonded over beers, Tyler asks the narrator to hit him. At first, it seems like an absurd request but after they pound on each other for a bit, a strange feeling overcomes them. They feel a kind of release and satisfaction at inflicting pain on one another. In a world where people are desensitized to everything around them, the physical contact of fighting wakes them up and makes them feel truly alive. Others soon join in and pretty soon Fight Club becomes an underground sensation. However, it becomes readily apparent that Tyler has more elaborate plans than just organizing brawls at the local bar. David Fincher has taken the dark, pessimistic worldview of ""Seven"" and married it with the clever plot twists and turns of ""The Game"" and assembled his strongest effort to date. ""Fight Club"" is a $50+ million studio film that remains true to its anti-consumer, anti-society, anti-everything message -- right up to the last, sneaky subliminal frame. What makes ""Fight Club"" a subversive delight is not only its refreshing anti-corporate message but how it delivers said message. As Fincher has explained in interviews, you don't really watch the film but rather download it. Its structure is extremely playful as it messes around with linear time to an incredible degree. The narrative bounces back and forth all over the place like a novel, or surfing on the Internet -- even making a hilarious dead stop to draw attention to itself in a funny, interesting way that completely works. Yet Norton's deadpanned narration holds everything together and allows the viewer to get a handle on what's happening. This is the way films should be made. Why must we always have to go through the A+B+C formula? ""Fight Club"" openly rejects this tired, clearly outdated structure in favour of a stylized frenzy of jump cuts, freeze frames, slow motion and every other film technique in the book that only reinforces its anarchistic message. A film like this would have never been greenlighted by a major studio if Brad Pitt had not been attached to the project. Once you see the film, it becomes obvious that he was the only choice for Tyler Durden. Like he did with ""Kalifornia"" and ""Twelve Monkeys"", Pitt grunges himself down and disappears completely into his role to a frighteningly convincing degree. During many of the brutal fight scenes, he is transformed into a bloody, pulpy mess that'll surely have the ""Legends of the Fall"" fans running for the exits. It is an incredible performance -- probably his best -- for the simple fact that he becomes the character so completely. If Pitt has the flashy, gonzo role, Edward Norton is his perfect foil as the seemingly meek yet sardonic narrator. It's a deceptively understated performance as the last third of the film reveals but Norton nails it perfectly. He is clearly our surrogate, our introduction into this strange world and his wry observations on our consumer-obsessed culture are right on the money. They are the perfect setup for Tyler's introduction and his view on the world which is clearly a call to arms of sorts, a manifesto that rejects the notion that we are what we own. And ultimately, that is what ""Fight Club"" tries to do. The film is a cinematic punch to the head as it challenges the status quo and offers a wakeup call to people immersed in a materialistic world where those who have the most stuff, ""win."" I think that Fincher's film wants us to tear all that down, reject corporate monsters like Starbucks and Blockbuster, and try to figure out what we really want out of life. It's almost as if the film is suggesting salvation through self-destruction. And it is these thought-provoking ideas that makes ""Fight Club"" a dangerously brilliant film that entertains as well as enlightens.",/review/rw5691804/?ref_=tt_urv
3 January 2007,Hitchcoc,9," It's Hard to Take Your Eyes Away
","I'm not much into graphic violence. This film transcends that. It has wonderful direction, and, even though it is brutal, it takes things to another ledge. Edward Norton is really controlled as he realizes his power. It's too easy to throw in spoilers so I will leave things to the viewer. The search for self and the growing cult around Fight Club made me suspicious. Still, to watch what happens to the two men at the center and what they are without Fight Club is the core. One of the neat things about this film is seeing it a second town makes it even better. The mental byplay between Pitt and Norton increases tension to explosiveness. If you want to see what can happen to a story when put in masterful hands, read the book (which is outstanding), and see the movie. They show that art forms can treat the same material, each in their own ways.",/review/rw5691804/?ref_=tt_urv
20 March 2001,The_Retard_Whisperer,," This is a very important movie.
","When I first saw the previews for this movie, it had me interested. A movie about guys who fight - it didn't seem to deep, but I thought it would provide entertainment. I had heard buzz about, a few of my friends raved about it for a few days, and I was convinced. I should see this movie. I went to my local video store and picked up the last remaining DVD. I popped it in, sat in amazement until the last credit rolled, and then watched it again. And again. And again.",/review/rw5691804/?ref_=tt_urv
4 February 2003,KrisRagnarsson,," Life-changing Fight Club
","I am, unfortunately, not one of the faithful Chuck Palahniuk readers who had read the book BEFORE they saw the movie. I, however, couldn't wait to read the book after seeing this film. I've read the book 5 times since and seen the movie more times than I can remember.",/review/rw5691804/?ref_=tt_urv
15 October 1999,buk-3,10," A unique film
","Fight Club is one of the most unique films I have ever seen. In addition to presenting a rather fresh take on life, FC also presents its material in a fresh way. My main interest in the film is in that, in my opinion, it does not present characters for us to think about. Rather, it presents actions for us to think about. I will say that I cannot recall *ever* having been ""asked"" by a film to both suspend my disbelief the way this film asks in its third act AND at the same time come to terms with an understanding that there is no room--or need--for disbelief.",/review/rw5691804/?ref_=tt_urv
26 December 2021,richardjohndecker,9," Not about fighting
","Fight club is not at all what I expected, but I was surprisingly ecstatic about what the movie was. A terrifically made thriller that builds suspence and keeps you invested throughout the entirety of the film. Be warned the film is incredible through the first watch and provides a different perspective the second time.",/review/rw5691804/?ref_=tt_urv
28 July 2016,KissEnglishPasto,10," A No-Holds-Barred Cult Classic Knockout!
","From PASTO, COLOMBA-Via: L. A. CA; CALI, Colombia+ORLANDO, FL
-----------The ONLY Tony Kiss Castillo on FaceBook!---------------",/review/rw5691804/?ref_=tt_urv
26 August 2020,Ruskington,7," The first rule of Fight Club: You never talk about how over-hyped Fight Club is
","I'm not sure if it's just the fact that Ed Norton really grates on me in this film, but I never really bought into the idea of Fight Club being some kind of cultural phenomenon. Yes it's an innovative story, told via a strong script, engaging characters and intense cinematography. But is it really worthy of such high praise? Personally, I find it starts to fall apart halfway through and actually becomes quite tedious towards the end. Everything just becomes a little bit childish and contrived as the story loses touch with its base elements and the rage against the machine vibe takes over. I have huge respect for the way this film was made but, much like The Matrix, I feel like people attach way more importance to this movie than it deserves.",/review/rw5691804/?ref_=tt_urv
11 August 2020,baileycrawly,6," Revisiting Fight Club
","Fight Club isn't a bad movie, but it's not nearly as good as people make it out to be.",/review/rw5691804/?ref_=tt_urv
25 June 2000,Dante Hicks,10," It doesn't get much better than this
","Similar in idea to 'American Beauty' but certainly not in style or content this bleak look at underground culture and the spiritual redemption it brings is easily one of the most intelligent films I've ever seen. Directed by the same man who brought us the superb 'The Game' this is another film which you'll have to see more than once to truly understand.  Focusing on sad white-collar, middle-class Norton whose only real dream in life is to own all the contents of an IKEA catalogue it follows him through a chance meeting with charismatic stranger Pitt and the unfortunate events which conspire to draw them together. After a nights hard drinking they start a friendly-ish scrap which is viewed by a couple of others and from that small acorn a mighty oak called Fight Club grows. This is the point around which the whole film revolves with Norton and Pitt forming an underground club which draws more and more disillusioned young men to join it. Based on firm 'Queensbury Rules' it is a cathartic if bloody way to spend your night. Eventually as it becomes a huge operation Pitt, the de facto leader, moves it up a gear and creates his own cult from this secret society. This is where the film becomes brilliant and the twist near the end is magnificent, better even than the much talked about 'The Sixth Sense'. It just has so much to say about things: the emasculation of an entire generation of young men (""No great war to fight, no great depression""), the growing isolation we all feel from one another and the need to find something to draw us back together and most importantly, the power of an exciting, challenging idea and it's fermentation into cultism. However, where many films would just say 'This is a bad thing' 'Fight Club' doesn't. It is more a condemnation of a materialistic society which has forgotten about a large section of itself. You can empathise with these men completely, even when they band together against this uncaring society that has reared them to be something their instincts don't understand. It's as close to genius as you'll get and one film you'll talk about and think about for days.",/review/rw5691804/?ref_=tt_urv
7 June 2019,tierneys-95725,10," I study philosophy but this film took me for a ride
","I watched the first hour and a half of this movie when I was 16 before I asked my boyfriend to turn it off because it was too dark. Now I am in my early 20s and I watched it until the very end, credits and all, and it truly is the best thing I've ever watched. I'm obsessed and I cant wait to watch it again. I reckon it will hit me even harder when I am older and I'm sure it will be just as fantastic.",/review/rw5691804/?ref_=tt_urv
14 October 2007,lastliberal,9," The things you own end up owning you.
",I wasn't prepared for an existential trip about life. I thought it was just going to be about fighting. I was wrong.,/review/rw5691804/?ref_=tt_urv
21 October 2005,lee_eisenberg,10," This is what great movies are all about!
","In the grand scheme of things, ""Fight Club"" is less about a group of people who like to fight than about how the commercialism inherent in our society drives people over the edge. The unnamed narrator (Edward Norton) joins up with soap-maker Tyler Durden (Brad Pitt) to found Project Mayhem, whose goal is to undermine everything corporate. Part of their modus operandi involves starting fistfights. But at some point, the narrator realizes that it's going too far...and he's helpless to stop the madness.",/review/rw5691804/?ref_=tt_urv
30 April 2020,liamkellybusiness,9," This is why we watch movies.
","Fight Club does exactly what movies should do, blow our minds, make us ask questions of ourselves and our society, and all the while thoroughly entertain us. Edward Norton and Brad Pitt are at their very best.",/review/rw5691804/?ref_=tt_urv
