Review_Date,Author,Rating,Review_Title,Review,Review_Url
1 January 2013,Geeky Randy,9," A wonderful conclusion to a wonderful trilogy.
","After eight years in seclusion, Batman resurfaces to face Bane, a mastermind bent on destroying Gotham and has ties to Bruce Wayne's past. Christopher Nolan's conclusion to his Dark Knight trilogy should be treated as a wrap up rather than a third installment. Despite many new characters being introduced, even their conflicts and motives are derived from events that occurred in the previous two films. Such an approach could be seen as a weakness, since the conflict could just end up being sort of a rematch rather than moving the story forward; however, Nolan's approach works terrificly. Over an hour is shot in stunning IMAX, but the film is more touching than it is intense and that's its best quality. Hardy steps in as the genius mercenary Bane, who is slightly bigger, slightly stronger and slightly smarter than Batman, thus making him a challenge best suited for the grand finale. The Joker works best as Batman's arch-nemesis since they are polar opposites, with The Joker standing for everything Batman stands against. Two-Face works best as Batman's most tragic enemy because Harvey Dent is very much like Bruce Wayne the only difference is: Dent copes with his tragedy through revenge rather than seeking justice as Wayne did. Bane works best as Batman's most challenging villain because of his physical and mental superiority—forget the Bane you saw in ""BATMAN & ROBIN"". Nolan carefully chose all his villains in the series wisely and executed them perfectly. Hardy had big shoes to fill following Ledger's posthumous Oscar winning performance; while Bane is no Joker, Hardy does a satisfying job and should not be compared to Ledger's performance as they are completely different roles. It is Michael Caine, however, that delivers the most memorable and touching performance of the entire film. A wonderful conclusion to a wonderful trilogy.",/review/rw4203255/?ref_=tt_urv
12 February 2020,MR-ODIN,," Batman
","Christopher Nolan's epic trilogy concludes in glorious fashion and gives us a thought provoking and suitably satisfying conclusion to an epic saga. It's emotional, intense and has a great villain in Tom Hardy.",/review/rw4203255/?ref_=tt_urv
19 January 2013,Maniac-9,10," Best comic movie trilogy ever
",The Dark Knight Rises capped off what is probably the best comic book related trilogy of movies of all time. Earlier in the series you had Batman Begins and The Dark Knight with this just being the perfect way to finish off the series.,/review/rw4203255/?ref_=tt_urv
2 June 2013,CaptKeshav,9," Epic
","The Dark Knight Rises was a perfect sequel to a masterpiece. Christopher Nolan took a different direction and focused more on Bruce Wayne/Batman. This movie is filled with lots of emotions. It has such great characters and of course the dialogs is so good. The performances are incredible. It was my most anticipated movie of the century. The more I watch it, The more epic it gets. Personally, I think The Dark Knight Trilogy is the greatest Trilogy of all time and this movie gives the greatest ending of all time in the movie history. I remember seeing it thrice and the more I watched It the more respect it earns. Thank you Christopher Nolan, You Sir Are A Master.",/review/rw4203255/?ref_=tt_urv
20 February 2021,Morejambo54,10," My personal favourite of the trilogy
","I think as a film stand point, the dark knight is a better movie that is better acted and tense the whole way through. The dark knight rises to me is a more fun and action filled movie that you can sit back a bit more. The acting is still amazing and combined with the atmosphere/visuals of the movie creates a the sense of realism that the movie has. That realism is where the intensity stems from throughout the movie, the audience believing that something like this could actually happen makes it that much scarier. Bane is also an excellent villain, in the dark knight the joker challenges Batman mentally but Bane physically challenges him which is a completely new challenge for Batman. The plot is incredible, it it starts fast and instantly brings you into the action. It then takes a step back to develop the characters further and build up the challenge Batman has to face. Once one of the many challenges was overcome by Batman in launches the viewer straight back into action for one epic final battle that lasts almost an hour......and it is GLORIOUS! Not one second was I bored, it is truly incredible how each movie in the trilogy is this good, it shouldn't be possible. I've not even mentioned the incredible soundtrack to compliment the astounding yet grounded action. I can't compliment this movie enough. If you haven't someone seen this trilogy yet....watch it, you won't be disappointed.",/review/rw4203255/?ref_=tt_urv
20 July 2012,darkslash7,10," No one wraps up a trilogy like Nolan.
","Wow. That's all I can say. I was freaked out about this movie, because I loved the first two. Too often have I gotten into a series, then been horribly disappointed by the last entry (e.g. the hunger games. I hated the third book). That being said, even though I was nervous, I still had high expectations. And it exceeded those. The acting was excellent, consistently to the previous movies. The action was good. The story was great. The characters were diverse and interesting, and despite the longevity of this film, it wasn't too slow at all. ",/review/rw4203255/?ref_=tt_urv
18 July 2012,Christopher_Reid,10," It was okay...
","The best thing about this movie is how satisfying it is. It doesn't leave you frustrated or confused. You can't really complain that it didn't explore certain ideas or follow through. By deciding to have an official ending to this trilogy's story, the themes surrounding Batman are very fresh. We don't know where he'll end up. It's not the same old thing about whether he can continue to be Batman or not, which was already getting repetitive in Spider-man 2. The conclusions are not as important as the feelings they invoke as they come about. Nolan is especially good at capturing the complete tension of actually not knowing what will happen and deeply questioning what you *want* to happen and why.",/review/rw4203255/?ref_=tt_urv
16 July 2012,Loving_Silence,10," Best Film of 2012, so far!
","I had the honor of watching TDKR during a screening and was completely blown away! Christopher Nolan's third film in his Batman trilogy doesn't disappoint. The movie is incredibly well made, its huge production is quite breathtaking to view. This is a true cinematic experience, to behold. The movie exceeded my expectations in terms of action, and entertainment. The movie's score high-lites many of its incredible scenes, and at times, it takes your breath away.",/review/rw4203255/?ref_=tt_urv
2 November 2012,TheLittleSongbird,9," What a way to end the trilogy!
","Possibly my personal favourite of the Nolan Batman films, and I do like Batman Begins and The Dark Knight very much. Is it perfect? For me, not quite, there are so many plot strand in a long running time that the film occasionally(and there is a big emphasis on that) sags in momentum and some of the strands in the ending could have done with more development. It is a brilliant film all the same, one of the highlights so far of the year. As to expect from Christopher Nolan, it is a visually audacious film, with gorgeous cinematography, a beautifully realised Gotham City and great special effects. Hans Zimmer's score is not one of his very best for me, but there is still an epic and haunting quality that is just perfect for this film. The dialogue provokes thought and makes an emotional impact, and a vast majority of the time The Dark Knight Rises is ambitious and gripping. I don't consider Christopher Nolan one of my favourites, this said he is a hugely impressive director who shows great ambition and a willingness to make his subject matters interesting. He does a really wonderful job here, as the set/action pieces including the plane hijack and Bane's assault on Gotham are enough to make the jaw drop. The performances are just terrific from all involved, Matthew Modine fares weakest but he is far from bad. Christian Bale is still a charismatic presence, Matthew Caine appropriately loyal and Gary Oldman and Morgan Freeman subtly understated. Joseph Gordon Levitt captures his character's idealism wonderfully. Tom Hardy is in beefed-up terrifying mode as Bane, a worthy successor to Heath Ledger's iconic Joker. Anne Hathaway was a curious casting choice, but as Catwoman she is spot on, here is a Catwoman who actually does much more than acting sexy(which she still is), she is very ruthless and no-nonsense here. All in all, a hugely impressive film, the best of Nolan's Batman trilogy- though I'm prepared for any flaming I'll get for this opinion- and one of the highlights so far of 2012. 9/10 Bethany Cox",/review/rw4203255/?ref_=tt_urv
19 July 2012,DICK STEEL,10," A Nutshell Review: The Dark Knight Rises
","There are plenty of elements that made this film work, so I suppose we can tick them off one by one. For starters, the continuation on the focus of Bruce Wayne's story, which has made it all tick. This version of Bruce Wayne and Alfred become the familiar characters we're accustomed with since 2005, and the film invests heavily on the emotional bonding between the two, which deals back to the theme about fear that rears its ugly head again, and how a father figure cannot stand idly by to watch the one he brought up recklessly charge into battle after a long hiatus, and hoping for a life of normalcy with the mantle of the bat given up. Michael Caine may have a shorter screen time than before, but no less powerful.",/review/rw4203255/?ref_=tt_urv
